trade_no,lifecycle,trigger,direction,trigger_time_utc,entry_time_utc,entry_price,zone_top,zone_bottom,swing_price,atr14,buffer,stop_loss,stop_distance_usd,tp1,tp2,outcome,result_r,exit_time_utc,duration_hours
1,MAX_4_M15_CANDLES,FVG,BUY,2026-01-02 04:30:00,2026-01-02 04:45:00,4375.105000,4371.655000,4370.665000,,7.030652,0.703065,4369.961935,5.143065,4380.248065,4385.391130,TIME_EXIT_BEFORE_TP1,0.641641,2026-01-02 05:30:00,0.750000
2,MAX_4_M15_CANDLES,FVG,BUY,2026-01-02 09:00:00,2026-01-02 09:15:00,4389.648000,4386.335000,4385.398000,4371.635000,6.383976,0.638398,4370.996602,18.651398,4408.299398,4426.950795,TIME_EXIT_BEFORE_TP1,-0.104550,2026-01-02 10:00:00,0.750000
3,MAX_4_M15_CANDLES,FVG,BUY,2026-01-02 11:30:00,2026-01-02 11:45:00,4394.615000,4393.345000,4389.458000,4371.635000,5.836049,0.583605,4371.051395,23.563605,4418.178605,4441.742210,TIME_EXIT_BEFORE_TP1,-0.298341,2026-01-02 12:30:00,0.750000
4,MAX_4_M15_CANDLES,FVG,SELL,2026-01-02 13:45:00,2026-01-02 14:00:00,4365.905000,4392.218000,4377.035000,4398.998000,8.845546,0.884555,4399.882555,33.977555,4331.927445,4297.949891,TIME_EXIT_BEFORE_TP1,0.371716,2026-01-02 14:45:00,0.750000
5,MAX_4_M15_CANDLES,FVG,BUY,2026-01-02 14:00:00,2026-01-02 14:15:00,4370.025000,4365.365000,4362.915000,4371.635000,8.795864,0.879586,4362.035414,7.989586,4378.014586,4386.004173,SL,-1.000000,2026-01-02 14:30:00,0.250000
6,MAX_4_M15_CANDLES,IFVG,SELL,2026-01-02 14:15:00,2026-01-02 14:30:00,4368.175000,4371.655000,4370.665000,4401.928000,8.653088,0.865309,4402.793309,34.618309,4333.556691,4298.938382,TIME_EXIT_AFTER_TP1,0.919745,2026-01-02 15:15:00,0.750000
7,MAX_4_M15_CANDLES,IFVG,SELL,2026-01-02 14:45:00,2026-01-02 15:00:00,4352.955000,4365.365000,4362.915000,4401.928000,9.721132,0.972113,4402.900113,49.945113,4303.009887,4253.064774,TIME_EXIT_BEFORE_TP1,0.357593,2026-01-02 15:45:00,0.750000
8,MAX_4_M15_CANDLES,FVG,BUY,2026-01-02 15:30:00,2026-01-02 15:45:00,4345.915000,4338.015000,4335.055000,4371.635000,11.137685,1.113768,4333.941232,11.973768,4357.888768,4369.862537,SL,-1.000000,2026-01-02 15:45:00,0.000000
9,MAX_4_M15_CANDLES,FVG,SELL,2026-01-02 15:45:00,2026-01-02 16:00:00,4335.055000,4352.105000,4342.555000,4401.928000,11.307850,1.130785,4403.058785,68.003785,4267.051215,4199.047430,TIME_EXIT_BEFORE_TP1,0.128228,2026-01-02 16:45:00,0.750000
10,MAX_4_M15_CANDLES,FVG,SELL,2026-01-02 17:45:00,2026-01-02 18:00:00,4322.785000,4333.345000,4324.785000,4401.928000,10.402980,1.040298,4402.968298,80.183298,4242.601702,4162.418404,TIME_EXIT_BEFORE_TP1,0.097651,2026-01-02 18:45:00,0.750000
