trade_no,lifecycle,trigger,direction,trigger_time_utc,entry_time_utc,entry_price,zone_top,zone_bottom,swing_price,atr14,buffer,stop_loss,stop_distance_usd,tp1,tp2,outcome,result_r,exit_time_utc,duration_hours
71,MAX_4_M15_CANDLES,IFVG,BUY,2026-01-09 13:30:00,2026-01-09 13:45:00,4486.648000,4471.745000,4468.388000,4466.798000,8.253539,0.825354,4465.972646,20.675354,4507.323354,4527.998708,TIME_EXIT_BEFORE_TP1,0.041934,2026-01-09 14:30:00,0.750000
72,MAX_4_M15_CANDLES,IFVG,SELL,2026-01-09 13:45:00,2026-01-09 14:00:00,4482.178000,4488.298000,4487.565000,4480.335000,8.378072,0.837807,4489.135807,6.957807,4475.220193,4468.262386,SL,-1.000000,2026-01-09 14:00:00,0.000000
73,MAX_4_M15_CANDLES,IFVG,BUY,2026-01-09 14:00:00,2026-01-09 14:15:00,4489.105000,4481.999000,4478.705000,4466.798000,8.932495,0.893250,4465.904750,23.200250,4512.305250,4535.505499,TIME_EXIT_BEFORE_TP1,0.308316,2026-01-09 15:00:00,0.750000
74,MAX_4_M15_CANDLES,FVG,SELL,2026-01-09 14:30:00,2026-01-09 14:45:00,4487.585000,4496.648000,4496.035000,4480.335000,9.637207,0.963721,4497.611721,10.026721,4477.558279,4467.531559,SL,-1.000000,2026-01-09 15:00:00,0.250000
75,MAX_4_M15_CANDLES,IFVG,BUY,2026-01-09 15:15:00,2026-01-09 15:30:00,4505.105000,4494.755000,4494.105000,4458.595000,10.640937,1.064094,4457.530906,47.574094,4552.679094,4600.253187,TIME_EXIT_BEFORE_TP1,-0.039034,2026-01-09 16:15:00,0.750000
76,MAX_4_M15_CANDLES,FVG,BUY,2026-01-09 16:45:00,2026-01-09 17:00:00,4506.315000,4504.915000,4499.975000,4458.595000,9.857388,0.985739,4457.609261,48.705739,4555.020739,4603.726478,TIME_EXIT_BEFORE_TP1,-0.453951,2026-01-09 17:45:00,0.750000
77,MAX_4_M15_CANDLES,FVG,SELL,2026-01-09 18:15:00,2026-01-09 18:30:00,4491.275000,4500.918000,4493.015000,4516.898000,9.901291,0.990129,4517.888129,26.613129,4464.661871,4438.048742,TIME_EXIT_BEFORE_TP1,-0.275052,2026-01-09 19:15:00,0.750000
78,MAX_4_M15_CANDLES,IFVG,SELL,2026-01-09 18:45:00,2026-01-09 19:00:00,4495.755000,4504.915000,4499.975000,4516.898000,9.960710,0.996071,4517.894071,22.139071,4473.615929,4451.476858,TIME_EXIT_BEFORE_TP1,-0.143186,2026-01-09 19:45:00,0.750000
79,MAX_4_M15_CANDLES,FVG,BUY,2026-01-09 19:00:00,2026-01-09 19:15:00,4496.765000,4494.985000,4494.335000,4481.615000,9.632802,0.963280,4480.651720,16.113280,4512.878280,4528.991560,TIME_EXIT_BEFORE_TP1,0.602795,2026-01-09 20:00:00,0.750000
80,MAX_4_M15_CANDLES,IFVG,BUY,2026-01-09 20:00:00,2026-01-09 20:15:00,4506.478000,4500.918000,4493.015000,4481.615000,8.711949,0.871195,4480.743805,25.734195,4532.212195,4557.946390,TIME_EXIT_BEFORE_TP1,0.057122,2026-01-09 21:00:00,0.750000
