model,variant,filter,lifecycle,stop_kind,max_bars,total_trade,resolved_trade,win_rate_positive_r,loss_rate_negative_r,target_hit_rate,net_r,max_drawdown_r,return_drawdown_ratio,TARGET,SL,BE,TIME_EXIT,OPEN_AT_END,time_exit_positive,time_exit_negative,average_sl_distance_usd,median_sl_distance_usd,maximum_sl_distance_usd,maximum_concurrent_positions,average_duration_hours,median_duration_hours
B_FVG_STANDARD,B_FVG__NONE__SCALP_LOCAL_WICK_MAX_4,NONE,SCALP_LOCAL_WICK_MAX_4,LOCAL,4,143,142,0.408450704,0.556338028,0.063380282,-6.065448996,17.848953454,-0.339820988,9,45,5,83,1,49,34,20.158151157,15.699622584,127.539741486,2,0.593309859,0.750000000
B_FVG_STANDARD,B_FVG__NONE__DAY_STRUCTURAL_MAX_16,NONE,DAY_STRUCTURAL_MAX_16,STRUCTURAL,16,143,141,0.425531915,0.482269504,0.099290780,-1.554627902,18.959982868,-0.081995217,14,43,13,71,2,46,25,42.392612695,27.921769591,261.631681810,4,4.491134752,3.750000000
B_FVG_STANDARD,B_FVG__PREMIUM_DISCOUNT__SCALP_LOCAL_WICK_MAX_4,PREMIUM_DISCOUNT,SCALP_LOCAL_WICK_MAX_4,LOCAL,4,69,68,0.367647059,0.588235294,0.058823529,-5.841618130,8.908683833,-0.655721792,4,23,3,38,1,21,17,21.587741470,14.925058382,127.539741486,2,0.580882353,0.750000000
B_FVG_STANDARD,B_FVG__PREMIUM_DISCOUNT__DAY_STRUCTURAL_MAX_16,PREMIUM_DISCOUNT,DAY_STRUCTURAL_MAX_16,STRUCTURAL,16,69,67,0.283582090,0.537313433,0.119402985,-10.709817762,14.964614886,-0.715676136,8,30,12,17,2,11,6,28.362016832,16.065581115,261.631681810,3,3.440298507,1.750000000
B_FVG_STANDARD,B_FVG__HTF_DISPLACEMENT_BOS__SCALP_LOCAL_WICK_MAX_4,HTF_DISPLACEMENT_BOS,SCALP_LOCAL_WICK_MAX_4,LOCAL,4,17,17,0.470588235,0.529411765,0.058823529,2.142994926,3.529882738,0.607100883,1,5,0,11,0,7,4,20.606187590,18.378645172,41.232660408,1,0.661764706,0.750000000
B_FVG_STANDARD,B_FVG__HTF_DISPLACEMENT_BOS__DAY_STRUCTURAL_MAX_16,HTF_DISPLACEMENT_BOS,DAY_STRUCTURAL_MAX_16,STRUCTURAL,16,17,17,0.529411765,0.470588235,0.176470588,4.979427208,1.883737290,2.643376672,3,1,0,13,0,6,7,49.306187590,37.989622584,120.915645172,2,3.279411765,3.750000000
B_FVG_STANDARD,B_FVG__ALL_FILTERS__SCALP_LOCAL_WICK_MAX_4,ALL_FILTERS,SCALP_LOCAL_WICK_MAX_4,LOCAL,4,3,3,0.333333333,0.666666667,0.000000000,-0.980840467,1.000000000,-0.980840467,0,1,0,2,0,1,1,31.629828263,35.682986134,41.232660408,1,0.500000000,0.750000000
B_FVG_STANDARD,B_FVG__ALL_FILTERS__DAY_STRUCTURAL_MAX_16,ALL_FILTERS,DAY_STRUCTURAL_MAX_16,STRUCTURAL,16,3,3,0.333333333,0.666666667,0.000000000,-1.074926970,1.074926970,-1.000000000,0,1,0,2,0,1,1,41.588494929,31.825986134,79.885660408,1,2.500000000,3.750000000
