trade_no,lifecycle,trigger,direction,trigger_time_utc,entry_time_utc,entry_price,zone_top,zone_bottom,swing_price,atr14,buffer,stop_loss,stop_distance_usd,tp1,tp2,outcome,result_r,exit_time_utc,duration_hours
211,MAX_4_M15_CANDLES,IFVG,BUY,2026-01-26 23:30:00,2026-01-26 23:45:00,5056.285000,5042.769000,5035.395000,4989.805000,21.000078,2.100008,4987.704992,68.580008,5124.865008,5193.445016,TIME_EXIT_BEFORE_TP1,-0.361913,2026-01-27 00:30:00,0.750000
212,MAX_4_M15_CANDLES,IFVG,BUY,2026-01-27 01:00:00,2026-01-27 01:15:00,5071.275000,5033.495000,5020.645000,4989.805000,22.245482,2.224548,4987.580452,83.694548,5154.969548,5238.664096,TIME_EXIT_BEFORE_TP1,-0.090687,2026-01-27 02:00:00,0.750000
213,MAX_4_M15_CANDLES,IFVG,SELL,2026-01-27 01:15:00,2026-01-27 01:30:00,5066.445000,5074.515000,5073.015000,5061.195000,21.585091,2.158509,5076.673509,10.228509,5056.216491,5045.987982,TP1_BE,0.000000,2026-01-27 01:45:00,0.250000
214,MAX_4_M15_CANDLES,FVG,BUY,2026-01-27 02:00:00,2026-01-27 02:15:00,5063.625000,5062.635000,5035.415000,5013.595000,20.215278,2.021528,5011.573472,52.051528,5115.676528,5167.728056,TIME_EXIT_BEFORE_TP1,0.040345,2026-01-27 03:00:00,0.750000
215,MAX_4_M15_CANDLES,FVG,SELL,2026-01-27 06:45:00,2026-01-27 07:00:00,5085.585000,5097.065000,5090.555000,5079.575000,12.988648,1.298865,5098.363865,12.778865,5072.806135,5060.027270,SL,-1.000000,2026-01-27 07:30:00,0.500000
216,MAX_4_M15_CANDLES,IFVG,SELL,2026-01-27 07:45:00,2026-01-27 08:00:00,5085.725000,5097.065000,5095.245000,5079.575000,12.530994,1.253099,5098.318099,12.593099,5073.131901,5060.538801,TIME_EXIT_AFTER_TP1,0.507421,2026-01-27 08:45:00,0.750000
217,MAX_4_M15_CANDLES,FVG,BUY,2026-01-27 08:30:00,2026-01-27 08:45:00,5082.255000,5076.525000,5074.655000,5057.005000,12.080158,1.208016,5055.796984,26.458016,5108.713016,5135.171032,TIME_EXIT_BEFORE_TP1,0.202963,2026-01-27 09:30:00,0.750000
218,MAX_4_M15_CANDLES,FVG,BUY,2026-01-27 09:45:00,2026-01-27 10:00:00,5098.195000,5085.915000,5083.995000,5073.075000,11.260215,1.126022,5071.948978,26.246022,5124.441022,5150.687043,TIME_EXIT_BEFORE_TP1,-0.457212,2026-01-27 10:45:00,0.750000
219,MAX_4_M15_CANDLES,FVG,SELL,2026-01-27 11:15:00,2026-01-27 11:30:00,5086.735000,5090.838000,5089.095000,5099.345000,9.743173,0.974317,5100.319317,13.584317,5073.150683,5059.566365,TIME_EXIT_AFTER_TP1,0.583025,2026-01-27 12:15:00,0.750000
220,MAX_4_M15_CANDLES,IFVG,BUY,2026-01-27 13:00:00,2026-01-27 13:15:00,5089.825000,5083.155000,5082.615000,5066.808000,10.189169,1.018917,5065.789083,24.035917,5113.860917,5137.896834,SL,-1.000000,2026-01-27 14:00:00,0.750000
221,MAX_4_M15_CANDLES,IFVG,SELL,2026-01-27 13:30:00,2026-01-27 13:45:00,5073.245000,5081.105000,5081.035000,5099.345000,11.058416,1.105842,5100.450842,27.205842,5046.039158,5018.833317,TIME_EXIT_BEFORE_TP1,-0.217233,2026-01-27 14:30:00,0.750000
222,MAX_4_M15_CANDLES,IFVG,SELL,2026-01-27 16:45:00,2026-01-27 17:00:00,5087.265000,5093.455000,5091.075000,5092.695000,14.207368,1.420737,5094.875737,7.610737,5079.654263,5072.043526,TP1_BE,0.000000,2026-01-27 17:30:00,0.500000
223,MAX_4_M15_CANDLES,FVG,SELL,2026-01-27 17:15:00,2026-01-27 17:30:00,5087.851000,5093.455000,5091.745000,5103.075000,14.095077,1.409508,5104.484508,16.633508,5071.217492,5054.583985,TIME_EXIT_BEFORE_TP1,0.185529,2026-01-27 18:15:00,0.750000
224,MAX_4_M15_CANDLES,FVG,BUY,2026-01-27 18:00:00,2026-01-27 18:15:00,5081.795000,5079.785000,5076.955000,5046.465000,13.344987,1.334499,5045.130501,36.664499,5118.459499,5155.123997,TIME_EXIT_BEFORE_TP1,0.138554,2026-01-27 19:00:00,0.750000
225,MAX_4_M15_CANDLES,FVG,BUY,2026-01-27 23:45:00,2026-01-28 00:00:00,5171.975000,5170.675000,5148.925000,5076.135000,15.005706,1.500571,5074.634429,97.340571,5269.315571,5366.656141,TIME_EXIT_BEFORE_TP1,-0.001130,2026-01-28 00:45:00,0.750000
226,MAX_4_M15_CANDLES,FVG,BUY,2026-01-28 02:00:00,2026-01-28 02:15:00,5209.785000,5204.225000,5196.035000,5157.115000,16.473217,1.647322,5155.467678,54.317322,5264.102322,5318.419643,TIME_EXIT_BEFORE_TP1,0.618587,2026-01-28 03:00:00,0.750000
227,MAX_4_M15_CANDLES,FVG,BUY,2026-01-28 05:30:00,2026-01-28 05:45:00,5264.565000,5251.475000,5248.755000,5157.115000,13.998881,1.399888,5155.715112,108.849888,5373.414888,5482.264776,TIME_EXIT_BEFORE_TP1,-0.028296,2026-01-28 06:30:00,0.750000
228,MAX_4_M15_CANDLES,FVG,BUY,2026-01-28 07:30:00,2026-01-28 07:45:00,5281.125000,5272.555000,5271.195000,5157.115000,13.159090,1.315909,5155.799091,125.325909,5406.450909,5531.776818,TIME_EXIT_BEFORE_TP1,0.069180,2026-01-28 08:30:00,0.750000
229,MAX_4_M15_CANDLES,FVG,BUY,2026-01-28 08:45:00,2026-01-28 09:00:00,5293.375000,5286.319000,5285.495000,5157.115000,13.896709,1.389671,5155.725329,137.649671,5431.024671,5568.674342,TIME_EXIT_BEFORE_TP1,-0.111297,2026-01-28 09:45:00,0.750000
230,MAX_4_M15_CANDLES,FVG,SELL,2026-01-28 12:00:00,2026-01-28 12:15:00,5260.995000,5269.799000,5261.815000,5311.245000,13.682951,1.368295,5312.613295,51.618295,5209.376705,5157.758410,TIME_EXIT_BEFORE_TP1,-0.274321,2026-01-28 13:00:00,0.750000
231,MAX_4_M15_CANDLES,IFVG,SELL,2026-01-28 13:00:00,2026-01-28 13:15:00,5275.035000,5286.319000,5285.495000,5311.245000,13.901657,1.390166,5312.635166,37.600166,5237.434834,5199.834669,TIME_EXIT_BEFORE_TP1,0.339626,2026-01-28 14:00:00,0.750000
232,MAX_4_M15_CANDLES,FVG,SELL,2026-01-28 14:00:00,2026-01-28 14:15:00,5262.265000,5273.085000,5268.645000,5289.235000,14.979017,1.497902,5290.732902,28.467902,5233.797098,5205.329197,SL,-1.000000,2026-01-28 15:00:00,0.750000
233,MAX_4_M15_CANDLES,IFVG,BUY,2026-01-28 14:45:00,2026-01-28 15:00:00,5285.459000,5273.085000,5268.645000,5238.345000,16.278113,1.627811,5236.717189,48.741811,5334.200811,5382.942623,SL,-1.000000,2026-01-28 15:00:00,0.000000
234,MAX_4_M15_CANDLES,FVG,BUY,2026-01-28 16:45:00,2026-01-28 17:00:00,5299.585000,5281.775000,5281.165000,5235.238000,18.391083,1.839108,5233.398892,66.186108,5365.771108,5431.957217,TIME_EXIT_BEFORE_TP1,-0.026138,2026-01-28 17:45:00,0.750000
235,MAX_4_M15_CANDLES,FVG,BUY,2026-01-28 17:15:00,2026-01-28 17:30:00,5302.535000,5292.298000,5289.025000,5235.238000,17.906296,1.790630,5233.447370,69.087630,5371.622630,5440.710259,TIME_EXIT_BEFORE_TP1,0.034883,2026-01-28 18:15:00,0.750000
236,MAX_4_M15_CANDLES,FVG,SELL,2026-01-28 19:15:00,2026-01-28 19:30:00,5283.115000,5298.645000,5283.405000,5325.755000,20.015250,2.001525,5327.756525,44.641525,5238.473475,5193.831950,SL,-1.000000,2026-01-28 19:45:00,0.250000
237,MAX_4_M15_CANDLES,FVG,BUY,2026-01-28 20:15:00,2026-01-28 20:30:00,5354.345000,5322.415000,5311.985000,5268.245000,21.925917,2.192592,5266.052408,88.292592,5442.637592,5530.930183,TIME_EXIT_BEFORE_TP1,0.337627,2026-01-28 21:15:00,0.750000
238,MAX_4_M15_CANDLES,FVG,BUY,2026-01-29 00:15:00,2026-01-29 00:30:00,5496.935000,5488.985000,5474.915000,5268.245000,35.059830,3.505983,5264.739017,232.195983,5729.130983,5961.326966,TIME_EXIT_BEFORE_TP1,0.043670,2026-01-29 01:15:00,0.750000
239,MAX_4_M15_CANDLES,FVG,BUY,2026-01-29 02:45:00,2026-01-29 03:00:00,5535.625000,5526.195000,5512.975000,5444.348000,34.390129,3.439013,5440.908987,94.716013,5630.341013,5725.057026,TIME_EXIT_BEFORE_TP1,0.105896,2026-01-29 03:45:00,0.750000
240,MAX_4_M15_CANDLES,IFVG,BUY,2026-01-29 03:00:00,2026-01-29 03:15:00,5538.395000,5526.195000,5525.375000,5444.348000,34.845834,3.484583,5440.863417,97.531583,5635.926583,5733.458167,TIME_EXIT_BEFORE_TP1,-0.042755,2026-01-29 04:00:00,0.750000
241,MAX_4_M15_CANDLES,FVG,BUY,2026-01-29 05:00:00,2026-01-29 05:15:00,5559.615000,5550.398000,5550.295000,5444.348000,26.673449,2.667345,5441.680655,117.934345,5677.549345,5795.483690,TIME_EXIT_BEFORE_TP1,0.207319,2026-01-29 06:00:00,0.750000
242,MAX_4_M15_CANDLES,IFVG,SELL,2026-01-29 07:15:00,2026-01-29 07:30:00,5541.735000,5573.945000,5564.235000,5595.275000,24.664043,2.466404,5597.741404,56.006404,5485.728596,5429.722191,TIME_EXIT_BEFORE_TP1,0.208369,2026-01-29 08:15:00,0.750000
243,MAX_4_M15_CANDLES,IFVG,SELL,2026-01-29 09:00:00,2026-01-29 09:15:00,5507.155000,5526.195000,5512.975000,5595.275000,26.271101,2.627110,5597.902110,90.747110,5416.407890,5325.660780,TIME_EXIT_BEFORE_TP1,-0.181714,2026-01-29 10:00:00,0.750000
244,MAX_4_M15_CANDLES,FVG,BUY,2026-01-29 13:15:00,2026-01-29 13:30:00,5519.355000,5508.285000,5506.625000,5470.545000,20.817050,2.081705,5468.463295,50.891705,5570.246705,5621.138410,TIME_EXIT_BEFORE_TP1,0.470470,2026-01-29 14:15:00,0.750000
245,MAX_4_M15_CANDLES,FVG,SELL,2026-01-29 13:45:00,2026-01-29 14:00:00,5510.325000,5527.045000,5525.665000,5542.835000,21.445569,2.144557,5544.979557,34.654557,5475.670443,5441.015886,SL,-1.000000,2026-01-29 14:15:00,0.250000
